Name,Value,MOE
Total number of housing units,2094002,454
Owner-occupied housing units,1200407,8161
Renter-occupied housing units,582761,5835
Single-family detached units,1369043,7053
Home ownership rate,67.3,0.4
Vacancy rate,14.8,0.3
Percent with a broadband internet subscription,84.8,0.3
Median owner-occupied housing unit value,208700,1365
Average housing value,256723,3642
Median selected monthly owner cost,913,10
Average monthly owner cost (with a mortgage),914,13
Median rent (housing),1038,7
Average rent (housing),887,15
Median year structure built,1982,1
