Name,Value,MOE
Total number of employer and nonemployer businesses,992880,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,341990,
White-owned non-employer businesses,518350,
Black-owned non-employer businesses,271880,
American Indian- and Alaska Native-owned employer businesses,8240,
Asian-owned non-employer businesses,28360,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,690,
Hispanic-owned non-employer businesses,46190,
Female-owned non-employer businesses,381040,
Male-owned non-employer businesses,420250,
Veteran-owned non-employer businesses,44970,
