Name,Value,MOE
Median household income,60023,491
Average income,85745,776
Percent high school degree or higher,86.9,0.2
Percent Bachelor's degree or higher,26.6,0.3
Average household size,2.52,
Percent in poverty,18.9,0.3
Percent population 16 years and over in labor force,59.3,0.2
Percent employed,55.1,0.3
Percent disabled,16.1,0.1
Percent with health coverage,91.9,0.2
Percent of all workers 16 and over who commute to work,92.8,0.3
Percent who drive alone to work,79.4,0.2
Percent who carpool to work,8.6,0.2
Percent who use public transportation to commute to work,0.9,0.1
Percent who walk to work,1.9,0.1
Percent who use other means to commute to work,1.9,0.1
Percent who work from home,7.2,0.2
Average travel time to work (mins),25.8,0.3
Percent with no vehicles available,8.3,0.2
Percent with 1 vehicle available,36.9,0.3
Percent with 2 or more vehicles available,54.8,0.4
Percent veterans,6.2,0.1
Percent foreign born,4.7,
Percent speaking Spanish at home,4.5,0.1
Percent speaking other Indo-European languages at home,2.2,0.1
Percent speaking other Asian and Pacific Island languages at home,1.1,0
