Name,Value,MOE
All Employer establishments (Total),86343,
All Nonemployer firms,251846,
Total employment of employers,1066278,
"Total annual payroll of employers ($1,000)",59193696,
"Total revenue of employers ($1,000)",323744151,
"Revenue of nonemployer firms ($1,000)",13952348,
Establishment Entrants,7974,
Establishment Exits,6672,
All Employer firms (Total),61378,
Firms Age 0 (startups),4766,
Firms Age 1-5 Years,14023,
Firms Age 6-10 Year,8589,
Firms Age 11+ Years,28409,
Firms born before 1977,5587,
Firms with 1 to 19 employees,27886,
Firms with 20 to 499 employees,3168,
Firms with 500 or more employees,42,
"Total revenue of employers ($1,000) for Islands",n/a,
