Name,Value,MOE
Total consumer expenditures per household ,90078.18,
Consumer expenditures per household on Alcoholic beverages,570.33,
Consumer expenditures per household on Alcoholic beverages consumed at home,353.56,
Consumer expenditures per household on Apparel & services,2071.1,
Consumer expenditures per household on Men's Apparel,386.94,
Consumer expenditures per household on Women's Apparel,709.73,
Consumer expenditures per household on Children's Apparel,315.16,
Consumer expenditures per household on Boys' Apparel,117.8,
Consumer expenditures per household on Girls' Apparel,114.62,
Consumer expenditures per household on Footware,430.94,
Consumer expenditures per household on Dining out (Food away from home),3461.23,
Consumer expenditures per household on Education,1473.58,
Consumer expenditures per household on Entertainment / Recreation,3809.98,
Consumer expenditures per household on Club membership fees,264.03,
Consumer expenditures per household on Dating services,0.73,
Consumer expenditures per household on Pet food,373.66,
Consumer expenditures per household on Pet services,96.63,
Consumer expenditures per household on Food consumed at home,6714.99,
Consumer expenditures per household on Bakery products consumed at home,868.52,
Consumer expenditures per household on Dairy products consumed at home,645.43,
Consumer expenditures per household on Fruits and vegetables consumed at home,1301.37,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1431.56,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,690.62,
Consumer expenditures per household on Snacks and other food products consumed at home,2468.11,
Consumer expenditures per household on Health Care,7621.41,
Consumer expenditures per household on Medical services,1502.49,
Consumer expenditures per household on Nonprescription drugs,175.8,
Consumer expenditures per household on Household Services,2538.46,
Consumer expenditures per household on Care for the elderly and handicapped,35.51,
Consumer expenditures per household on Lawn and garden services,693.74,
Consumer expenditures per household on Housekeeping services,213.04,
Consumer expenditures per household on PC repair,5.35,
Consumer expenditures per household on Housing,28999.67,
Consumer expenditures per household on Home improvements,5442.21,
"Consumer expenditures per household on Utilities, fuel, and public services",5717.17,
Consumer expenditures per household on Phone services,1823.47,
Consumer expenditures per household on Water,892.25,
Consumer expenditures per household on Life and other insurance,642.32,
Consumer expenditures per household on Pensions and social security,9356.41,
Consumer expenditures per household on Personal Care Products and Services,873.06,
Consumer expenditures per household on Hair care products,96.57,
Consumer expenditures per household on Personal care products,371.82,
Consumer expenditures per household on Local Transportation,10454.71,
Consumer expenditures per household on Gasoline,3047.33,
Consumer expenditures per household on Vehicle maintenance and repair,1404.43,
Consumer expenditures per household on Travel,2724.61,
Consumer expenditures per household on Airline fares,533.09,
Consumer expenditures per household on Auto/Truck rental on trips,102.21,
Consumer expenditures per household on Lodging on trips,895.57,
Consumer expenditures per household on Food and drink on trips,675,
Consumer expenditures per household on Entertainment on trips,160.71,
Consumer expenditures per household on Child Care,449.66,
Consumer expenditures per household on Day Care/Nursery & Preschools,327.44,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,122.22,
