Name,Value,MOE
Total population,1377400,
Percent male,49.2,
Percent female,50.8,
Percent under 5 years,4.6,
Percent under 18 years,18.3,
Percent 18 years and over ,81.7,
Percent 21 years and over,78.1,
Percent working age (25 to 64 years),51.9,
Percent 65 years and over,21.9,
Median age,44.8,0.1
Percent White,91.34,
Percent Black or African American,1.68,
Percent American Indian and Alaska Native,0.45,
Percent Asian,1.11,
Percent Native Hawaiian and Other Pacific Islander,0.02,
Percent some other race,0.7,
Percent two or more races,4.7,
Percent Hispanic (of any race),2.08,
