Name,Value,MOE
All Employer establishments (Total),43185,
Average employment per employer,12,
Establishments with less than 5 employees,24956,
Establishments with 5 to 9 employees,8030,
Average payroll per employee,55514,
Establishments with 10 to 19 employees,5205,
Establishments with 20 to 49 employees,3319,
Establishments with 50 to 99 employees,987,
Population per employer,32,
Establishments with 100 to 249 employees,506,
Establishments with 250 to 499 employees,115,
Establishments with 500 to 999 employees,41,
"Establishments with 1,000 employees or more",26,
Total employment of employers,533151,
"Total annual payroll of employers ($1,000)",29597269,
Number of farm operations (Ag only),4563,
Total contract and hired labor expense (Ag only),n/a,
Total operating expense (Ag only),333908000,
Establishment Entrants,3988,
Establishment Exits,3337,
All Employer firms (Total),30452,
Firms Age 0 (startups),2384,
Firms Age 1-5 Years,7007,
Firms Age 6-10 Year,4284,
Firms Age 11+ Years,14115,
Firms born before 1977,2662,
Firms with 1 to 19 employees,27886,
Firms with 20 to 499 employees,3168,
Firms with 500 or more employees,42,
