Name,Value,MOE
Total Civilian employed population 16 years and over,688248,3558
"Agriculture, forestry, fishing and hunting, and mining",16986,1071
"Arts, entertainment, and recreation, and accommodation and food services",54586,1933
Construction,52847,1812
"Educational services, and health care and social assistance",188373,3591
"Finance and insurance, and real estate and rental and leasing",43063,1839
Information,11363,806
Manufacturing,61788,1821
"Other services, except public administration",30455,1351
"Professional, scientific, and management, and administrative and waste management services",68625,2207
Public administration,31246,1522
Retail trade,87345,2415
"Transportation and warehousing, and utilities",29114,1277
Wholesale trade,12457,912
