Name,Value,MOE
Total number of housing units,746552,254
Owner-occupied housing units,436029,3444
Renter-occupied housing units,153056,2660
Single-family detached units,524264,2617
Home ownership rate,74,0.5
Vacancy rate,21.1,0.3
Percent with a broadband internet subscription,88.9,0.4
Median owner-occupied housing unit value,266400,2109
Average housing value,335211,5463
Median selected monthly owner cost,1167,11
Average monthly owner cost (with a mortgage),1092,16
Median rent (housing),1084,12
Average rent (housing),1035,31
Median year structure built,1976,1
