Name,Value,MOE
Total number of employer and nonemployer businesses,277831,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,14380,
White-owned non-employer businesses,231930,
Black-owned non-employer businesses,5570,
American Indian- and Alaska Native-owned employer businesses,2380,
Asian-owned non-employer businesses,3770,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,100,
Hispanic-owned non-employer businesses,3090,
Female-owned non-employer businesses,97350,
Male-owned non-employer businesses,136360,
Veteran-owned non-employer businesses,16120,
