Name,Value,MOE
Establishments,63112,
Number of establishments change (2023 to 2024),1777,
Number of establishments percent change (2023 to 2024) (%),2.9,
Number of establishments location quotient,0.98,
Employment (1st month of the quarter),553080,
Employment change month 1 (1st month of the quarter in 2023 to 2024),5073,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.9,
Employment location quotient (1st month of the quarter),0.99,
Employment (2nd month of the quarter),542806,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),4740,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.9,
Employment location quotient (2nd month of the quarter),0.99,
Employment (3rd month of the quarter),540476,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),3551,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.7,
Employment location quotient (3rd month of the quarter),0.98,
Total wages ($),9107895426,
Total wages change (2023 to 2024) ($),529247694,
Total wages percent change (2023 to 2024) (%),6.2,
Total wages location quotient,0.98,
Average weekly wages ($),1284,
Average weekly wages change (2023 to 2024) ($),64,
Average weekly wages percent change (2023 to 2024) (%),5.2,
Average weekly wages location quotient,1,
