Industry Selected (NAICS),Total for all sectors
Geography Selected (FIPS),Maine

Worksheet,Sources
Top 10 Imports in Selected Area ,
Top Nationally Significant Sectors in Selected Area,"2022 County Business Patterns, 2021 County Business Patterns, 2020 County Business Patterns, 2019 County Business Patterns, 2018 County Business Patterns, 2022 Economic Census, 2017 Economic Census"
Building Permits,"2023 Building Permits Survey, 2022 Building Permits Survey, 2021 Building Permits Survey"
Quarterly Businesses,Quarterly Census of Employment and Wages
Consumer Spending,"2024 Esri Consumer Spending data, 2023 Esri Consumer Spending data"
Demographic Characteristics,"2023 American Community Survey 5-year Data Profile, 2022 American Community Survey 5-year Data Profile, 2021 American Community Survey 5-year Data Profile, 2020 American Community Survey 5-year Data Profile, 2019 American Community Survey 5-year Data Profile"
Socioeconomic Characteristics,"2023 American Community Survey 5-year Data Profile, 2022 American Community Survey 5-year Data Profile, 2021 American Community Survey 5-year Data Profile, 2020 American Community Survey 5-year Data Profile, 2019 American Community Survey 5-year Data Profile, 2023 American Community Survey 5-year Summary File, 2022 American Community Survey 5-year Summary File, 2021 American Community Survey 5-year Summary File, 2020 American Community Survey 5-year Summary File, 2019 American Community Survey 5-year Summary File"
Housing Characteristics,"2023 American Community Survey 5-year Data Profile, 2022 American Community Survey 5-year Data Profile, 2021 American Community Survey 5-year Data Profile, 2020 American Community Survey 5-year Data Profile, 2019 American Community Survey 5-year Data Profile, 2023 American Community Survey 5-year Summary File, 2022 American Community Survey 5-year Summary File, 2021 American Community Survey 5-year Summary File, 2020 American Community Survey 5-year Summary File, 2019 American Community Survey 5-year Summary File"
Employment Characteristics,"2023 American Community Survey 5-year Summary File, 2022 American Community Survey 5-year Summary File, 2021 American Community Survey 5-year Summary File, 2020 American Community Survey 5-year Summary File, 2019 American Community Survey 5-year Summary File, 2023 American Community Survey 5-year Data Profile, 2022 American Community Survey 5-year Data Profile, 2021 American Community Survey 5-year Data Profile, 2020 American Community Survey 5-year Data Profile, 2019 American Community Survey 5-year Data Profile"
Employer Businesses,"2022 County Business Patterns, 2021 County Business Patterns, 2020 County Business Patterns, 2019 County Business Patterns, 2018 County Business Patterns, 2022 Economic Census, 2017 Economic Census, 2022 American Community Survey 5-year Summary File, 2017 American Community Survey 5-year Summary File, 2012 Census of Agriculture, 2022 Business Dynamics Statistics, 2021 Business Dynamics Statistics, 2020 Business Dynamics Statistics, 2019 Business Dynamics Statistics, 2018 Business Dynamics Statistics"
Business Revenue,"2022 Annual Business Survey, 2012 Census of Agriculture, 2022 Economic Census of Island Areas"
Nonemployer Businesses,"2022 Nonemployer Statistics, 2021 Nonemployer Statistics, 2020 Nonemployer Statistics, 2019 Nonemployer Statistics, 2018 Nonemployer Statistics, 2022 County Business Patterns, 2021 County Business Patterns, 2020 County Business Patterns, 2019 County Business Patterns, 2018 County Business Patterns, 2022 Economic Census"
Key Ratios,"2022 County Business Patterns, 2021 County Business Patterns, 2020 County Business Patterns, 2019 County Business Patterns, 2018 County Business Patterns, 2022 Economic Census, 2017 Economic Census, 2022 Annual Business Survey, 2022 American Community Survey 5-year Summary File, 2017 American Community Survey 5-year Summary File, 2022 Nonemployer Statistics, 2021 Nonemployer Statistics, 2020 Nonemployer Statistics, 2019 Nonemployer Statistics, 2018 Nonemployer Statistics"
Workforce,Quarterly Workforce Indicators
Businesses Totals,"2022 County Business Patterns, 2021 County Business Patterns, 2020 County Business Patterns, 2019 County Business Patterns, 2018 County Business Patterns, 2022 Economic Census, 2022 Nonemployer Statistics, 2021 Nonemployer Statistics, 2020 Nonemployer Statistics, 2019 Nonemployer Statistics, 2018 Nonemployer Statistics, 2017 Economic Census, 2022 Annual Business Survey, 2022 Business Dynamics Statistics, 2021 Business Dynamics Statistics, 2020 Business Dynamics Statistics, 2019 Business Dynamics Statistics, 2018 Business Dynamics Statistics, 2022 Economic Census of Island Areas"
Employer Business Ownership,2022 Annual Business Survey
Nonemployer Business Ownership,"2021 Nonemployer Statistics by Demographics, 2020 Nonemployer Statistics by Demographics"
Jobs,"2022 Business Dynamics Statistics, 2021 Business Dynamics Statistics, 2020 Business Dynamics Statistics, 2019 Business Dynamics Statistics, 2018 Business Dynamics Statistics"
