Name,Value,MOE
Total consumer expenditures per household ,121020.54,
Consumer expenditures per household on Alcoholic beverages,816.4,
Consumer expenditures per household on Alcoholic beverages consumed at home,503,
Consumer expenditures per household on Apparel & services,2950.28,
Consumer expenditures per household on Men's Apparel,543.37,
Consumer expenditures per household on Women's Apparel,986.31,
Consumer expenditures per household on Children's Apparel,453.13,
Consumer expenditures per household on Boys' Apparel,172.42,
Consumer expenditures per household on Girls' Apparel,162.99,
Consumer expenditures per household on Footware,618.46,
Consumer expenditures per household on Dining out (Food away from home),4875.63,
Consumer expenditures per household on Education,2201.61,
Consumer expenditures per household on Entertainment / Recreation,4996.47,
Consumer expenditures per household on Club membership fees,378.97,
Consumer expenditures per household on Dating services,1.05,
Consumer expenditures per household on Pet food,430.97,
Consumer expenditures per household on Pet services,134.86,
Consumer expenditures per household on Food consumed at home,8928.63,
Consumer expenditures per household on Bakery products consumed at home,1147.82,
Consumer expenditures per household on Dairy products consumed at home,844.96,
Consumer expenditures per household on Fruits and vegetables consumed at home,1777.89,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1922.54,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,899.15,
Consumer expenditures per household on Snacks and other food products consumed at home,3235.41,
Consumer expenditures per household on Health Care,9191.31,
Consumer expenditures per household on Medical services,1872.47,
Consumer expenditures per household on Nonprescription drugs,212.61,
Consumer expenditures per household on Household Services,3402.74,
Consumer expenditures per household on Care for the elderly and handicapped,46.19,
Consumer expenditures per household on Lawn and garden services,838.61,
Consumer expenditures per household on Housekeeping services,305.83,
Consumer expenditures per household on PC repair,7.28,
Consumer expenditures per household on Housing,40277.01,
Consumer expenditures per household on Home improvements,6839.65,
"Consumer expenditures per household on Utilities, fuel, and public services",7143.82,
Consumer expenditures per household on Phone services,2322.34,
Consumer expenditures per household on Water,1163.53,
Consumer expenditures per household on Life and other insurance,824.03,
Consumer expenditures per household on Pensions and social security,13176.79,
Consumer expenditures per household on Personal Care Products and Services,1237.89,
Consumer expenditures per household on Hair care products,132.97,
Consumer expenditures per household on Personal care products,550.64,
Consumer expenditures per household on Local Transportation,13335.76,
Consumer expenditures per household on Gasoline,3823.04,
Consumer expenditures per household on Vehicle maintenance and repair,1794.34,
Consumer expenditures per household on Travel,3752.23,
Consumer expenditures per household on Airline fares,798.3,
Consumer expenditures per household on Auto/Truck rental on trips,145.08,
Consumer expenditures per household on Lodging on trips,1210.83,
Consumer expenditures per household on Food and drink on trips,918.44,
Consumer expenditures per household on Entertainment on trips,223.42,
Consumer expenditures per household on Child Care,702.15,
Consumer expenditures per household on Day Care/Nursery & Preschools,496.94,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,205.21,
