Name,Value,MOE
Total population,6170738,
Percent male,48.7,
Percent female,51.3,
Percent under 5 years,5.8,
Percent under 18 years,22.3,
Percent 18 years and over ,77.7,
Percent 21 years and over,74,
Percent working age (25 to 64 years),53,
Percent 65 years and over,16.3,
Median age,39.3,0.1
Percent White,49.6,
Percent Black or African American,29.59,
Percent American Indian and Alaska Native,0.38,
Percent Asian,6.45,
Percent Native Hawaiian and Other Pacific Islander,0.04,
Percent some other race,6.51,
Percent two or more races,7.43,
Percent Hispanic (of any race),12.06,
