Name,Value,MOE
Total Civilian employed population 16 years and over,3133266,8165
"Agriculture, forestry, fishing and hunting, and mining",17285,1182
"Arts, entertainment, and recreation, and accommodation and food services",241134,4179
Construction,231877,3938
"Educational services, and health care and social assistance",740359,6891
"Finance and insurance, and real estate and rental and leasing",182078,4283
Information,54385,1905
Manufacturing,147750,3052
"Other services, except public administration",163544,3603
"Professional, scientific, and management, and administrative and waste management services",513425,5938
Public administration,347808,5416
Retail trade,281445,4622
"Transportation and warehousing, and utilities",160819,3460
Wholesale trade,51357,2196
