Name,Value,MOE
Total number of housing units,2545532,484
Owner-occupied housing units,1578702,8708
Renter-occupied housing units,760808,6579
Single-family detached units,1306311,4747
Home ownership rate,67.5,0.3
Vacancy rate,8.1,0.2
Percent with a broadband internet subscription,91.5,0.2
Median owner-occupied housing unit value,397700,1433
Average housing value,478574,4566
Median selected monthly owner cost,1857,9
Average monthly owner cost (with a mortgage),1819,16
Median rent (housing),1662,7
Average rent (housing),1528,21
Median year structure built,1979,1
