Name,Value,MOE
Establishments,193124,
Number of establishments change (2023 to 2024),3221,
Number of establishments percent change (2023 to 2024) (%),1.7,
Number of establishments location quotient,1.01,
Employment (1st month of the quarter),2238887,
Employment change month 1 (1st month of the quarter in 2023 to 2024),37230,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1.7,
Employment location quotient (1st month of the quarter),0.95,
Employment (2nd month of the quarter),2241940,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),33546,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.5,
Employment location quotient (2nd month of the quarter),0.95,
Employment (3rd month of the quarter),2240718,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),31750,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),1.4,
Employment location quotient (3rd month of the quarter),0.94,
Total wages ($),44297032744,
Total wages change (2023 to 2024) ($),2451226753,
Total wages percent change (2023 to 2024) (%),5.9,
Total wages location quotient,0.91,
Average weekly wages ($),1521,
Average weekly wages change (2023 to 2024) ($),62,
Average weekly wages percent change (2023 to 2024) (%),4.2,
Average weekly wages location quotient,0.96,
