Name,Value,MOE
Median household income,101652,518
Average income,133800,845
Percent high school degree or higher,91,0.2
Percent Bachelor's degree or higher,42.7,0.3
Average household size,2.58,
Percent in poverty,9.3,0.2
Percent population 16 years and over in labor force,67.2,0.2
Percent employed,63.2,0.2
Percent disabled,11.4,0.1
Percent with health coverage,93.8,0.1
Percent of all workers 16 and over who commute to work,82.8,0.3
Percent who drive alone to work,66.3,0.3
Percent who carpool to work,7.7,0.2
Percent who use public transportation to commute to work,4.9,0.1
Percent who walk to work,2,0.1
Percent who use other means to commute to work,1.9,0.1
Percent who work from home,17.2,0.2
Average travel time to work (mins),31.5,0.2
Percent with no vehicles available,8.7,0.1
Percent with 1 vehicle available,33.3,0.2
Percent with 2 or more vehicles available,58,0.3
Percent veterans,7,0.1
Percent foreign born,16.3,
Percent speaking Spanish at home,9.4,0.1
Percent speaking other Indo-European languages at home,4.7,0.1
Percent speaking other Asian and Pacific Island languages at home,3.7,0.1
