Name,Value,MOE
Total consumer expenditures per household ,123999.32,
Consumer expenditures per household on Alcoholic beverages,866.43,
Consumer expenditures per household on Alcoholic beverages consumed at home,533.69,
Consumer expenditures per household on Apparel & services,3020.34,
Consumer expenditures per household on Men's Apparel,560.79,
Consumer expenditures per household on Women's Apparel,1006.85,
Consumer expenditures per household on Children's Apparel,435.98,
Consumer expenditures per household on Boys' Apparel,169.61,
Consumer expenditures per household on Girls' Apparel,152.16,
Consumer expenditures per household on Footware,629.04,
Consumer expenditures per household on Dining out (Food away from home),5007.25,
Consumer expenditures per household on Education,2371.21,
Consumer expenditures per household on Entertainment / Recreation,5118.02,
Consumer expenditures per household on Club membership fees,396.04,
Consumer expenditures per household on Dating services,1.14,
Consumer expenditures per household on Pet food,436.74,
Consumer expenditures per household on Pet services,140.63,
Consumer expenditures per household on Food consumed at home,9209.76,
Consumer expenditures per household on Bakery products consumed at home,1188.35,
Consumer expenditures per household on Dairy products consumed at home,877.11,
Consumer expenditures per household on Fruits and vegetables consumed at home,1872.69,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1974.96,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,908.91,
Consumer expenditures per household on Snacks and other food products consumed at home,3296.65,
Consumer expenditures per household on Health Care,9159.25,
Consumer expenditures per household on Medical services,1882.54,
Consumer expenditures per household on Nonprescription drugs,205.47,
Consumer expenditures per household on Household Services,3468.38,
Consumer expenditures per household on Care for the elderly and handicapped,57.32,
Consumer expenditures per household on Lawn and garden services,835.08,
Consumer expenditures per household on Housekeeping services,319.02,
Consumer expenditures per household on PC repair,7.83,
Consumer expenditures per household on Housing,41839.07,
Consumer expenditures per household on Home improvements,6826.92,
"Consumer expenditures per household on Utilities, fuel, and public services",7098.94,
Consumer expenditures per household on Phone services,2311.56,
Consumer expenditures per household on Water,1148.04,
Consumer expenditures per household on Life and other insurance,829.71,
Consumer expenditures per household on Pensions and social security,13614,
Consumer expenditures per household on Personal Care Products and Services,1289.08,
Consumer expenditures per household on Hair care products,137.97,
Consumer expenditures per household on Personal care products,579.7,
Consumer expenditures per household on Local Transportation,13226.02,
Consumer expenditures per household on Gasoline,3770.93,
Consumer expenditures per household on Vehicle maintenance and repair,1793.03,
Consumer expenditures per household on Travel,3912.88,
Consumer expenditures per household on Airline fares,858.85,
Consumer expenditures per household on Auto/Truck rental on trips,149.45,
Consumer expenditures per household on Lodging on trips,1258.33,
Consumer expenditures per household on Food and drink on trips,954.18,
Consumer expenditures per household on Entertainment on trips,228.56,
Consumer expenditures per household on Child Care,727.81,
Consumer expenditures per household on Day Care/Nursery & Preschools,500.07,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,227.74,
