Name,Value,MOE
Total population,6992395,
Percent male,48.9,
Percent female,51.1,
Percent under 5 years,5,
Percent under 18 years,19.6,
Percent 18 years and over ,80.4,
Percent 21 years and over,76.1,
Percent working age (25 to 64 years),53.3,
Percent 65 years and over,17.5,
Median age,40,0.1
Percent White,70.73,
Percent Black or African American,7,
Percent American Indian and Alaska Native,0.23,
Percent Asian,7.08,
Percent Native Hawaiian and Other Pacific Islander,0.04,
Percent some other race,5.43,
Percent two or more races,9.49,
Percent Hispanic (of any race),12.94,
