Name,Value,MOE
All Employer establishments (Total),182919,
Average employment per employer,19,
Establishments with less than 5 employees,98560,
Establishments with 5 to 9 employees,33367,
Average payroll per employee,84540,
Establishments with 10 to 19 employees,23119,
Establishments with 20 to 49 employees,16919,
Establishments with 50 to 99 employees,5847,
Population per employer,38,
Establishments with 100 to 249 employees,3532,
Establishments with 250 to 499 employees,965,
Establishments with 500 to 999 employees,346,
"Establishments with 1,000 employees or more",264,
Total employment of employers,3396919,
"Total annual payroll of employers ($1,000)",287176143,
Number of farm operations (Ag only),3996,
Total contract and hired labor expense (Ag only),n/a,
Total operating expense (Ag only),318237000,
Establishment Entrants,17758,
Establishment Exits,13952,
All Employer firms (Total),129988,
Firms Age 0 (startups),10188,
Firms Age 1-5 Years,29993,
Firms Age 6-10 Year,19325,
Firms Age 11+ Years,58713,
Firms born before 1977,11769,
Firms with 1 to 19 employees,115424,
Firms with 20 to 499 employees,16586,
Firms with 500 or more employees,432,
