Name,Value,MOE
Total Civilian employed population 16 years and over,3687020,8101
"Agriculture, forestry, fishing and hunting, and mining",16034,1117
"Arts, entertainment, and recreation, and accommodation and food services",278268,4228
Construction,224881,4242
"Educational services, and health care and social assistance",1030165,7862
"Finance and insurance, and real estate and rental and leasing",269181,4270
Information,75547,2461
Manufacturing,331446,4813
"Other services, except public administration",157833,3977
"Professional, scientific, and management, and administrative and waste management services",573593,6808
Public administration,143774,3518
Retail trade,361140,4770
"Transportation and warehousing, and utilities",155398,3583
Wholesale trade,69760,2606
