Name,Value,MOE
Total number of housing units,3014657,502
Owner-occupied housing units,1728986,8162
Renter-occupied housing units,1033084,7024
Single-family detached units,1550002,5423
Home ownership rate,62.6,0.3
Vacancy rate,8.4,0.2
Percent with a broadband internet subscription,91.8,0.2
Median owner-occupied housing unit value,525800,2244
Average housing value,645187,5360
Median selected monthly owner cost,2081,10
Average monthly owner cost (with a mortgage),1979,17
Median rent (housing),1687,9
Average rent (housing),1618,17
Median year structure built,1963,1
