Name,Value,MOE
Total number of employer and nonemployer businesses,1437195,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,284200,
White-owned non-employer businesses,943130,
Black-owned non-employer businesses,105250,
American Indian- and Alaska Native-owned employer businesses,7250,
Asian-owned non-employer businesses,88790,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,1620,
Hispanic-owned non-employer businesses,112020,
Female-owned non-employer businesses,463650,
Male-owned non-employer businesses,644820,
Veteran-owned non-employer businesses,37880,
