Name,Value,MOE
Median household income,101341,539
Average income,140991,861
Percent high school degree or higher,91.4,0.1
Percent Bachelor's degree or higher,46.6,0.3
Average household size,2.45,
Percent in poverty,10,0.2
Percent population 16 years and over in labor force,67.2,0.1
Percent employed,63.7,0.1
Percent disabled,12.1,0.1
Percent with health coverage,97.4,0.1
Percent of all workers 16 and over who commute to work,83.3,0.3
Percent who drive alone to work,62.7,0.2
Percent who carpool to work,6.9,0.1
Percent who use public transportation to commute to work,7,0.1
Percent who walk to work,4.2,0.1
Percent who use other means to commute to work,2.5,0.1
Percent who work from home,16.7,0.2
Average travel time to work (mins),29.3,0.2
Percent with no vehicles available,11.8,0.2
Percent with 1 vehicle available,35.8,0.2
Percent with 2 or more vehicles available,52.4,0.3
Percent veterans,4.5,0.1
Percent foreign born,17.7,
Percent speaking Spanish at home,9.6,0.1
Percent speaking other Indo-European languages at home,9.2,0.2
Percent speaking other Asian and Pacific Island languages at home,4.4,0.1
