Name,Value,MOE
All Employer establishments (Total),455543,
All Nonemployer firms,1618852,
Total employment of employers,7877928,
"Total annual payroll of employers ($1,000)",465410687,
"Total revenue of employers ($1,000)",2832050983,
"Revenue of nonemployer firms ($1,000)",83374500,
Establishment Entrants,42296,
Establishment Exits,36566,
All Employer firms (Total),310138,
Firms Age 0 (startups),23832,
Firms Age 1-5 Years,67976,
Firms Age 6-10 Year,45770,
Firms Age 11+ Years,143149,
Firms born before 1977,29411,
Firms with 1 to 19 employees,136168,
Firms with 20 to 499 employees,20428,
Firms with 500 or more employees,401,
"Total revenue of employers ($1,000) for Islands",n/a,
