Name,Value,MOE
Total population,10051595,
Percent male,49.6,
Percent female,50.4,
Percent under 5 years,5.5,
Percent under 18 years,21.4,
Percent 18 years and over ,78.6,
Percent 21 years and over,74.6,
Percent working age (25 to 64 years),51.2,
Percent 65 years and over,18.2,
Median age,40.1,0.1
Percent White,74.78,
Percent Black or African American,13.4,
Percent American Indian and Alaska Native,0.46,
Percent Asian,3.28,
Percent Native Hawaiian and Other Pacific Islander,0.03,
Percent some other race,1.76,
Percent two or more races,6.3,
Percent Hispanic (of any race),5.74,
