Name,Value,MOE
All Employer establishments (Total),227870,
Average employment per employer,17,
Establishments with less than 5 employees,118933,
Establishments with 5 to 9 employees,43600,
Average payroll per employee,59078,
Establishments with 10 to 19 employees,30776,
Establishments with 20 to 49 employees,21812,
Establishments with 50 to 99 employees,6965,
Population per employer,44,
Establishments with 100 to 249 employees,3945,
Establishments with 250 to 499 employees,1193,
Establishments with 500 to 999 employees,383,
"Establishments with 1,000 employees or more",263,
Total employment of employers,3939076,
"Total annual payroll of employers ($1,000)",232710964,
Number of farm operations (Ag only),30933,
Total contract and hired labor expense (Ag only),78905000,
Total operating expense (Ag only),3937466000,
Establishment Entrants,21148,
Establishment Exits,18283,
All Employer firms (Total),153773,
Firms Age 0 (startups),11914,
Firms Age 1-5 Years,33963,
Firms Age 6-10 Year,22844,
Firms Age 11+ Years,71044,
Firms born before 1977,14008,
Firms with 1 to 19 employees,136168,
Firms with 20 to 499 employees,20428,
Firms with 500 or more employees,401,
