Name,Value,MOE
Total Civilian employed population 16 years and over,4712135,10989
"Agriculture, forestry, fishing and hunting, and mining",52042,1595
"Arts, entertainment, and recreation, and accommodation and food services",406569,5202
Construction,275414,4246
"Educational services, and health care and social assistance",1095738,8117
"Finance and insurance, and real estate and rental and leasing",274345,3894
Information,56566,1950
Manufacturing,866988,5944
"Other services, except public administration",211659,3343
"Professional, scientific, and management, and administrative and waste management services",474712,5533
Public administration,165436,2876
Retail trade,507460,5256
"Transportation and warehousing, and utilities",224306,3187
Wholesale trade,100900,2519
