Name,Value,MOE
Total number of housing units,4599683,956
Owner-occupied housing units,2946157,11746
Renter-occupied housing units,1094011,6558
Single-family detached units,3313923,8107
Home ownership rate,72.9,0.2
Vacancy rate,12.2,0.2
Percent with a broadband internet subscription,89.3,0.2
Median owner-occupied housing unit value,217600,692
Average housing value,268262,2001
Median selected monthly owner cost,1079,4
Average monthly owner cost (with a mortgage),1020,7
Median rent (housing),1084,5
Average rent (housing),975,10
Median year structure built,1972,1
