Name,Value,MOE
Establishments,295716,
Number of establishments change (2023 to 2024),-28785,
Number of establishments percent change (2023 to 2024) (%),-8.9,
Number of establishments location quotient,1,
Employment (1st month of the quarter),3831557,
Employment change month 1 (1st month of the quarter in 2023 to 2024),7099,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.2,
Employment location quotient (1st month of the quarter),1.01,
Employment (2nd month of the quarter),3827963,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),-290,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0,
Employment location quotient (2nd month of the quarter),1.01,
Employment (3rd month of the quarter),3814198,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),-13637,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),-0.4,
Employment location quotient (3rd month of the quarter),1.01,
Total wages ($),68507762898,
Total wages change (2023 to 2024) ($),2705109905,
Total wages percent change (2023 to 2024) (%),4.1,
Total wages location quotient,1.01,
Average weekly wages ($),1378,
Average weekly wages change (2023 to 2024) ($),55,
Average weekly wages percent change (2023 to 2024) (%),4.2,
Average weekly wages location quotient,1,
