Name,Value,MOE
All Employer establishments (Total),308519,
All Nonemployer firms,884690,
Total employment of employers,5464847,
"Total annual payroll of employers ($1,000)",355244729,
"Total revenue of employers ($1,000)",2068089213,
"Revenue of nonemployer firms ($1,000)",50368662,
Establishment Entrants,26360,
Establishment Exits,24392,
All Employer firms (Total),209062,
Firms Age 0 (startups),15040,
Firms Age 1-5 Years,45564,
Firms Age 6-10 Year,30238,
Firms Age 11+ Years,97887,
Firms born before 1977,20333,
Firms with 1 to 19 employees,91623,
Firms with 20 to 499 employees,14051,
Firms with 500 or more employees,298,
"Total revenue of employers ($1,000) for Islands",n/a,
