Name,Value,MOE
Total Civilian employed population 16 years and over,2989357,6398
"Agriculture, forestry, fishing and hunting, and mining",62540,1463
"Arts, entertainment, and recreation, and accommodation and food services",217376,3143
Construction,188990,2661
"Educational services, and health care and social assistance",765033,5989
"Finance and insurance, and real estate and rental and leasing",213961,3735
Information,41961,1594
Manufacturing,403105,4806
"Other services, except public administration",129472,2543
"Professional, scientific, and management, and administrative and waste management services",312923,3450
Public administration,111070,2274
Retail trade,318205,3589
"Transportation and warehousing, and utilities",146097,2817
Wholesale trade,78624,2222
