Name,Value,MOE
Total number of housing units,2519538,958
Owner-occupied housing units,1652534,6995
Renter-occupied housing units,630433,4629
Single-family detached units,1670157,4765
Home ownership rate,72.4,0.3
Vacancy rate,9.4,0.2
Percent with a broadband internet subscription,90.7,0.1
Median owner-occupied housing unit value,305500,890
Average housing value,360554,2675
Median selected monthly owner cost,1432,7
Average monthly owner cost (with a mortgage),1358,9
Median rent (housing),1235,7
Average rent (housing),1207,14
Median year structure built,1978,1
