Name,Value,MOE
Establishments,208165,
Number of establishments change (2023 to 2024),4946,
Number of establishments percent change (2023 to 2024) (%),2.4,
Number of establishments location quotient,0.99,
Employment (1st month of the quarter),2560980,
Employment change month 1 (1st month of the quarter in 2023 to 2024),12264,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.5,
Employment location quotient (1st month of the quarter),1.01,
Employment (2nd month of the quarter),2549909,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),16672,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.7,
Employment location quotient (2nd month of the quarter),1.01,
Employment (3rd month of the quarter),2541321,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),23934,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),1,
Employment location quotient (3rd month of the quarter),1.01,
Total wages ($),48505430377,
Total wages change (2023 to 2024) ($),2010698363,
Total wages percent change (2023 to 2024) (%),4.3,
Total wages location quotient,1.01,
Average weekly wages ($),1463,
Average weekly wages change (2023 to 2024) ($),51,
Average weekly wages percent change (2023 to 2024) (%),3.6,
Average weekly wages location quotient,1,
