Name,Value,MOE
Median household income,87556,396
Average income,115861,627
Percent high school degree or higher,93.9,0.1
Percent Bachelor's degree or higher,38.8,0.2
Average household size,2.44,
Percent in poverty,9.2,0.2
Percent population 16 years and over in labor force,68.5,0.1
Percent employed,65.7,0.1
Percent disabled,11.4,0.1
Percent with health coverage,95.4,0.1
Percent of all workers 16 and over who commute to work,84.2,0.2
Percent who drive alone to work,70.3,0.2
Percent who carpool to work,7.6,0.1
Percent who use public transportation to commute to work,2.1,0.1
Percent who walk to work,2.5,0.1
Percent who use other means to commute to work,1.6,0.1
Percent who work from home,15.8,0.2
Average travel time to work (mins),23.1,0.1
Percent with no vehicles available,6.5,0.1
Percent with 1 vehicle available,30.4,0.2
Percent with 2 or more vehicles available,63.1,0.3
Percent veterans,6.1,0.1
Percent foreign born,8.6,
Percent speaking Spanish at home,4.1,0.1
Percent speaking other Indo-European languages at home,1.9,0.1
Percent speaking other Asian and Pacific Island languages at home,3.4,0.1
