Name,Value,MOE
All Employer establishments (Total),120855,
All Nonemployer firms,502344,
Total employment of employers,1889046,
"Total annual payroll of employers ($1,000)",86005055,
"Total revenue of employers ($1,000)",603908184,
"Revenue of nonemployer firms ($1,000)",24559796,
Establishment Entrants,10400,
Establishment Exits,9994,
All Employer firms (Total),82789,
Firms Age 0 (startups),6200,
Firms Age 1-5 Years,17846,
Firms Age 6-10 Year,11375,
Firms Age 11+ Years,38570,
Firms born before 1977,8796,
Firms with 1 to 19 employees,36606,
Firms with 20 to 499 employees,5274,
Firms with 500 or more employees,119,
"Total revenue of employers ($1,000) for Islands",n/a,
