Name,Value,MOE
Total Civilian employed population 16 years and over,1247172,7134
"Agriculture, forestry, fishing and hunting, and mining",27191,1361
"Arts, entertainment, and recreation, and accommodation and food services",110086,2802
Construction,85397,2315
"Educational services, and health care and social assistance",313129,4462
"Finance and insurance, and real estate and rental and leasing",58671,2195
Information,12736,1163
Manufacturing,165488,3749
"Other services, except public administration",59933,2181
"Professional, scientific, and management, and administrative and waste management services",89912,3115
Public administration,64982,2289
Retail trade,141665,3711
"Transportation and warehousing, and utilities",91052,3024
Wholesale trade,26930,1761
