Name,Value,MOE
Total number of housing units,1332811,2317
Owner-occupied housing units,786289,6000
Renter-occupied housing units,345471,4500
Single-family detached units,923721,5168
Home ownership rate,69.5,0.4
Vacancy rate,15.1,0.3
Percent with a broadband internet subscription,81.9,0.5
Median owner-occupied housing unit value,161400,1296
Average housing value,205490,4348
Median selected monthly owner cost,776,7
Average monthly owner cost (with a mortgage),760,12
Median rent (housing),923,7
Average rent (housing),744,17
Median year structure built,1986,2
