Name,Value,MOE
Median household income,54915,586
Average income,76995,880
Percent high school degree or higher,86.6,0.3
Percent Bachelor's degree or higher,24.2,0.3
Average household size,2.52,
Percent in poverty,19.1,0.4
Percent population 16 years and over in labor force,57.2,0.3
Percent employed,53.2,0.3
Percent disabled,17.4,0.2
Percent with health coverage,88.4,0.2
Percent of all workers 16 and over who commute to work,94.7,0.3
Percent who drive alone to work,82.5,0.2
Percent who carpool to work,9.1,0.2
Percent who use public transportation to commute to work,0.3,0
Percent who walk to work,1.3,0.1
Percent who use other means to commute to work,1.5,0.1
Percent who work from home,5.3,0.2
Average travel time to work (mins),25.6,0.3
Percent with no vehicles available,6.2,0.2
Percent with 1 vehicle available,32.1,0.3
Percent with 2 or more vehicles available,61.7,0.5
Percent veterans,6.9,0.1
Percent foreign born,2.4,
Percent speaking Spanish at home,2.6,0.1
Percent speaking other Indo-European languages at home,0.6,0.1
Percent speaking other Asian and Pacific Island languages at home,0.6,0
