Name,Value,MOE
All Employer establishments (Total),307151,
All Nonemployer firms,950874,
Total employment of employers,5128354,
"Total annual payroll of employers ($1,000)",299058819,
"Total revenue of employers ($1,000)",1779639616,
"Revenue of nonemployer firms ($1,000)",50862686,
Establishment Entrants,28610,
Establishment Exits,27132,
All Employer firms (Total),210777,
Firms Age 0 (startups),17571,
Firms Age 1-5 Years,50914,
Firms Age 6-10 Year,32003,
Firms Age 11+ Years,90766,
Firms born before 1977,19523,
Firms with 1 to 19 employees,93142,
Firms with 20 to 499 employees,13374,
Firms with 500 or more employees,281,
"Total revenue of employers ($1,000) for Islands",n/a,
