Name,Value,MOE
Total consumer expenditures per household ,83402.97,
Consumer expenditures per household on Alcoholic beverages,535.23,
Consumer expenditures per household on Alcoholic beverages consumed at home,325.14,
Consumer expenditures per household on Apparel & services,1994.86,
Consumer expenditures per household on Men's Apparel,371.34,
Consumer expenditures per household on Women's Apparel,673.41,
Consumer expenditures per household on Children's Apparel,315.78,
Consumer expenditures per household on Boys' Apparel,117.24,
Consumer expenditures per household on Girls' Apparel,115.16,
Consumer expenditures per household on Footware,414.31,
Consumer expenditures per household on Dining out (Food away from home),3272.59,
Consumer expenditures per household on Education,1402.13,
Consumer expenditures per household on Entertainment / Recreation,3484.68,
Consumer expenditures per household on Club membership fees,250.02,
Consumer expenditures per household on Dating services,0.7,
Consumer expenditures per household on Pet food,329.85,
Consumer expenditures per household on Pet services,88.43,
Consumer expenditures per household on Food consumed at home,6221.22,
Consumer expenditures per household on Bakery products consumed at home,801.18,
Consumer expenditures per household on Dairy products consumed at home,589.13,
Consumer expenditures per household on Fruits and vegetables consumed at home,1200.37,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1336.51,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,646.48,
Consumer expenditures per household on Snacks and other food products consumed at home,2294.02,
Consumer expenditures per household on Health Care,6898.62,
Consumer expenditures per household on Medical services,1354.64,
Consumer expenditures per household on Nonprescription drugs,160.13,
Consumer expenditures per household on Household Services,2342.81,
Consumer expenditures per household on Care for the elderly and handicapped,27.98,
Consumer expenditures per household on Lawn and garden services,614.87,
Consumer expenditures per household on Housekeeping services,190.27,
Consumer expenditures per household on PC repair,4.91,
Consumer expenditures per household on Housing,26873.41,
Consumer expenditures per household on Home improvements,4793.59,
"Consumer expenditures per household on Utilities, fuel, and public services",5298.28,
Consumer expenditures per household on Phone services,1705.6,
Consumer expenditures per household on Water,830.28,
Consumer expenditures per household on Life and other insurance,585.05,
Consumer expenditures per household on Pensions and social security,8761.13,
Consumer expenditures per household on Personal Care Products and Services,815.41,
Consumer expenditures per household on Hair care products,90.18,
Consumer expenditures per household on Personal care products,345.59,
Consumer expenditures per household on Local Transportation,9758.72,
Consumer expenditures per household on Gasoline,2835.66,
Consumer expenditures per household on Vehicle maintenance and repair,1292.93,
Consumer expenditures per household on Travel,2488.98,
Consumer expenditures per household on Airline fares,487.08,
Consumer expenditures per household on Auto/Truck rental on trips,96.21,
Consumer expenditures per household on Lodging on trips,814.9,
Consumer expenditures per household on Food and drink on trips,618.27,
Consumer expenditures per household on Entertainment on trips,150.58,
Consumer expenditures per household on Child Care,438.9,
Consumer expenditures per household on Day Care/Nursery & Preschools,320.77,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,118.14,
