Name,Value,MOE
Total population,6168181,
Percent male,49.3,
Percent female,50.7,
Percent under 5 years,5.8,
Percent under 18 years,22.5,
Percent 18 years and over ,77.5,
Percent 21 years and over,73.6,
Percent working age (25 to 64 years),50.9,
Percent 65 years and over,17.5,
Median age,38.9,0.1
Percent White,78.33,
Percent Black or African American,11.13,
Percent American Indian and Alaska Native,0.27,
Percent Asian,2.07,
Percent Native Hawaiian and Other Pacific Islander,0.16,
Percent some other race,1.73,
Percent two or more races,6.3,
Percent Hispanic (of any race),5.06,
