Name,Value,MOE
Total Civilian employed population 16 years and over,2974499,8118
"Agriculture, forestry, fishing and hunting, and mining",48408,1670
"Arts, entertainment, and recreation, and accommodation and food services",243999,4264
Construction,201417,3325
"Educational services, and health care and social assistance",716737,6841
"Finance and insurance, and real estate and rental and leasing",216470,3936
Information,47343,1944
Manufacturing,337649,4508
"Other services, except public administration",142277,3514
"Professional, scientific, and management, and administrative and waste management services",303440,4820
Public administration,129855,2780
Retail trade,336813,4958
"Transportation and warehousing, and utilities",176767,3199
Wholesale trade,73324,1989
