Name,Value,MOE
Total number of housing units,2809501,603
Owner-occupied housing units,1688072,8466
Renter-occupied housing units,796762,5490
Single-family detached units,1980637,6534
Home ownership rate,67.9,0.3
Vacancy rate,11.6,0.2
Percent with a broadband internet subscription,88.1,0.2
Median owner-occupied housing unit value,215600,942
Average housing value,267725,2693
Median selected monthly owner cost,1058,5
Average monthly owner cost (with a mortgage),1027,9
Median rent (housing),996,5
Average rent (housing),878,10
Median year structure built,1978,1
