Name,Value,MOE
Total number of employer and nonemployer businesses,1146400,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,162790,
White-owned non-employer businesses,786550,
Black-owned non-employer businesses,97060,
American Indian- and Alaska Native-owned employer businesses,9750,
Asian-owned non-employer businesses,29850,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,1120,
Hispanic-owned non-employer businesses,30950,
Female-owned non-employer businesses,383710,
Male-owned non-employer businesses,501800,
Veteran-owned non-employer businesses,57200,
