Name,Value,MOE
Establishments,241933,
Number of establishments change (2023 to 2024),-1659,
Number of establishments percent change (2023 to 2024) (%),-0.7,
Number of establishments location quotient,0.99,
Employment (1st month of the quarter),2499510,
Employment change month 1 (1st month of the quarter in 2023 to 2024),13222,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.5,
Employment location quotient (1st month of the quarter),1,
Employment (2nd month of the quarter),2498766,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),10492,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.4,
Employment location quotient (2nd month of the quarter),1,
Employment (3rd month of the quarter),2491294,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),6870,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.3,
Employment location quotient (3rd month of the quarter),1,
Total wages ($),42026023046,
Total wages change (2023 to 2024) ($),1744679980,
Total wages percent change (2023 to 2024) (%),4.3,
Total wages location quotient,1.01,
Average weekly wages ($),1295,
Average weekly wages change (2023 to 2024) ($),49,
Average weekly wages percent change (2023 to 2024) (%),3.9,
Average weekly wages location quotient,1.01,
