Name,Value,MOE
Median household income,68920,368
Average income,93797,570
Percent high school degree or higher,91.6,0.1
Percent Bachelor's degree or higher,31.9,0.3
Average household size,2.42,
Percent in poverty,12.6,0.2
Percent population 16 years and over in labor force,63.1,0.2
Percent employed,60.1,0.2
Percent disabled,14.6,0.1
Percent with health coverage,90.8,0.2
Percent of all workers 16 and over who commute to work,88.4,0.2
Percent who drive alone to work,76.4,0.2
Percent who carpool to work,8,0.2
Percent who use public transportation to commute to work,0.9,0
Percent who walk to work,1.8,0.1
Percent who use other means to commute to work,1.3,0.1
Percent who work from home,11.6,0.2
Average travel time to work (mins),23.7,0.2
Percent with no vehicles available,6.6,0.1
Percent with 1 vehicle available,32.7,0.2
Percent with 2 or more vehicles available,60.7,0.3
Percent veterans,7.4,0.1
Percent foreign born,4.4,
Percent speaking Spanish at home,2.9,0.1
Percent speaking other Indo-European languages at home,1.8,0.1
Percent speaking other Asian and Pacific Island languages at home,1.4,0
