Name,Value,MOE
Total Civilian employed population 16 years and over,539136,3266
"Agriculture, forestry, fishing and hunting, and mining",32660,1323
"Arts, entertainment, and recreation, and accommodation and food services",55706,2050
Construction,48284,1705
"Educational services, and health care and social assistance",125734,2686
"Finance and insurance, and real estate and rental and leasing",29777,1302
Information,8175,764
Manufacturing,25827,1148
"Other services, except public administration",27436,1364
"Professional, scientific, and management, and administrative and waste management services",51993,1933
Public administration,30423,1119
Retail trade,64322,1976
"Transportation and warehousing, and utilities",27185,1400
Wholesale trade,11614,893
