Name,Value,MOE
Total number of housing units,522939,206
Owner-occupied housing units,314266,2526
Renter-occupied housing units,138417,2566
Single-family detached units,362548,2457
Home ownership rate,69.4,0.5
Vacancy rate,13.4,0.4
Percent with a broadband internet subscription,88.2,0.4
Median owner-occupied housing unit value,338100,3741
Average housing value,434973,8774
Median selected monthly owner cost,1095,17
Average monthly owner cost (with a mortgage),1053,20
Median rent (housing),1031,13
Average rent (housing),1015,33
Median year structure built,1980,1
