Name,Value,MOE
Total number of employer and nonemployer businesses,262648,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,14590,
White-owned non-employer businesses,193860,
Black-owned non-employer businesses,1140,
American Indian- and Alaska Native-owned employer businesses,6150,
Asian-owned non-employer businesses,2590,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,220,
Hispanic-owned non-employer businesses,5180,
Female-owned non-employer businesses,83090,
Male-owned non-employer businesses,106550,
Veteran-owned non-employer businesses,14420,
