Name,Value,MOE
Total consumer expenditures per household ,89100.7,
Consumer expenditures per household on Alcoholic beverages,571.53,
Consumer expenditures per household on Alcoholic beverages consumed at home,343.54,
Consumer expenditures per household on Apparel & services,2147.15,
Consumer expenditures per household on Men's Apparel,400.42,
Consumer expenditures per household on Women's Apparel,712.6,
Consumer expenditures per household on Children's Apparel,345.75,
Consumer expenditures per household on Boys' Apparel,126.99,
Consumer expenditures per household on Girls' Apparel,127.06,
Consumer expenditures per household on Footware,453.82,
Consumer expenditures per household on Dining out (Food away from home),3505.17,
Consumer expenditures per household on Education,1510.09,
Consumer expenditures per household on Entertainment / Recreation,3738.76,
Consumer expenditures per household on Club membership fees,270.83,
Consumer expenditures per household on Dating services,0.69,
Consumer expenditures per household on Pet food,349.17,
Consumer expenditures per household on Pet services,96.43,
Consumer expenditures per household on Food consumed at home,6578.84,
Consumer expenditures per household on Bakery products consumed at home,845.49,
Consumer expenditures per household on Dairy products consumed at home,625.22,
Consumer expenditures per household on Fruits and vegetables consumed at home,1272.88,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1414.76,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,678.38,
Consumer expenditures per household on Snacks and other food products consumed at home,2420.49,
Consumer expenditures per household on Health Care,7311.07,
Consumer expenditures per household on Medical services,1472.46,
Consumer expenditures per household on Nonprescription drugs,167.46,
Consumer expenditures per household on Household Services,2493.48,
Consumer expenditures per household on Care for the elderly and handicapped,28.45,
Consumer expenditures per household on Lawn and garden services,649.63,
Consumer expenditures per household on Housekeeping services,201.38,
Consumer expenditures per household on PC repair,5.13,
Consumer expenditures per household on Housing,28765.88,
Consumer expenditures per household on Home improvements,5195.12,
"Consumer expenditures per household on Utilities, fuel, and public services",5582.61,
Consumer expenditures per household on Phone services,1802.08,
Consumer expenditures per household on Water,884.2,
Consumer expenditures per household on Life and other insurance,621.25,
Consumer expenditures per household on Pensions and social security,9516.36,
Consumer expenditures per household on Personal Care Products and Services,869.4,
Consumer expenditures per household on Hair care products,96.62,
Consumer expenditures per household on Personal care products,368.5,
Consumer expenditures per household on Local Transportation,10383.72,
Consumer expenditures per household on Gasoline,2994.96,
Consumer expenditures per household on Vehicle maintenance and repair,1382.01,
Consumer expenditures per household on Travel,2681.57,
Consumer expenditures per household on Airline fares,532.39,
Consumer expenditures per household on Auto/Truck rental on trips,103.76,
Consumer expenditures per household on Lodging on trips,868.07,
Consumer expenditures per household on Food and drink on trips,665.8,
Consumer expenditures per household on Entertainment on trips,165.21,
Consumer expenditures per household on Child Care,481.47,
Consumer expenditures per household on Day Care/Nursery & Preschools,352.69,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,128.78,
