Name,Value,MOE
Total population,1965926,
Percent male,50.2,
Percent female,49.8,
Percent under 5 years,6.5,
Percent under 18 years,24.7,
Percent 18 years and over ,75.3,
Percent 21 years and over,71.2,
Percent working age (25 to 64 years),49.2,
Percent 65 years and over,16.4,
Median age,37.1,0.2
Percent White,79.88,
Percent Black or African American,4.76,
Percent American Indian and Alaska Native,1,
Percent Asian,2.5,
Percent Native Hawaiian and Other Pacific Islander,0.05,
Percent some other race,4.23,
Percent two or more races,7.59,
Percent Hispanic (of any race),12.32,
