Name,Value,MOE
All Employer establishments (Total),56319,
Average employment per employer,16,
Establishments with less than 5 employees,31031,
Establishments with 5 to 9 employees,10110,
Average payroll per employee,56684,
Establishments with 10 to 19 employees,7308,
Establishments with 20 to 49 employees,5155,
Establishments with 50 to 99 employees,1527,
Population per employer,35,
Establishments with 100 to 249 employees,797,
Establishments with 250 to 499 employees,222,
Establishments with 500 to 999 employees,108,
"Establishments with 1,000 employees or more",61,
Total employment of employers,890050,
"Total annual payroll of employers ($1,000)",50451717,
Number of farm operations (Ag only),28762,
Total contract and hired labor expense (Ag only),30743000,
Total operating expense (Ag only),7928359000,
Establishment Entrants,4505,
Establishment Exits,4233,
All Employer firms (Total),39812,
Firms Age 0 (startups),2814,
Firms Age 1-5 Years,8792,
Firms Age 6-10 Year,5838,
Firms Age 11+ Years,18008,
Firms born before 1977,4360,
Firms with 1 to 19 employees,35761,
Firms with 20 to 499 employees,4979,
Firms with 500 or more employees,120,
