Name,Value,MOE
Total Civilian employed population 16 years and over,1018867,3558
"Agriculture, forestry, fishing and hunting, and mining",43503,1196
"Arts, entertainment, and recreation, and accommodation and food services",72971,2000
Construction,73435,1997
"Educational services, and health care and social assistance",248936,3507
"Finance and insurance, and real estate and rental and leasing",80520,2391
Information,15075,744
Manufacturing,107113,2715
"Other services, except public administration",46436,1721
"Professional, scientific, and management, and administrative and waste management services",94896,2079
Public administration,43421,1404
Retail trade,107599,2393
"Transportation and warehousing, and utilities",60958,1753
Wholesale trade,24004,953
