Name,Value,MOE
Total number of housing units,855631,245
Owner-occupied housing units,523603,3526
Renter-occupied housing units,263282,3170
Single-family detached units,612323,2821
Home ownership rate,66.5,0.4
Vacancy rate,8,0.3
Percent with a broadband internet subscription,89.6,0.2
Median owner-occupied housing unit value,223800,1268
Average housing value,265471,3485
Median selected monthly owner cost,1206,9
Average monthly owner cost (with a mortgage),1115,13
Median rent (housing),1035,7
Average rent (housing),941,19
Median year structure built,1975,1
