Name,Value,MOE
Median household income,74985,575
Average income,100194,1015
Percent high school degree or higher,92.1,0.2
Percent Bachelor's degree or higher,34.1,0.4
Average household size,2.44,
Percent in poverty,10.3,0.3
Percent population 16 years and over in labor force,68.8,0.2
Percent employed,66.3,0.2
Percent disabled,12.1,0.2
Percent with health coverage,92.6,0.2
Percent of all workers 16 and over who commute to work,90,0.3
Percent who drive alone to work,77.3,0.2
Percent who carpool to work,8.5,0.2
Percent who use public transportation to commute to work,0.5,0.1
Percent who walk to work,2.3,0.1
Percent who use other means to commute to work,1.3,0.1
Percent who work from home,10,0.3
Average travel time to work (mins),19.1,0.2
Percent with no vehicles available,5.2,0.2
Percent with 1 vehicle available,30,0.4
Percent with 2 or more vehicles available,64.8,0.5
Percent veterans,7.2,0.1
Percent foreign born,7.7,
Percent speaking Spanish at home,8.1,0.1
Percent speaking other Indo-European languages at home,1.6,0.1
Percent speaking other Asian and Pacific Island languages at home,1.7,0.1
