Name,Value,MOE
All Employer establishments (Total),152633,
All Nonemployer firms,589058,
Total employment of employers,2572993,
"Total annual payroll of employers ($1,000)",142457962,
"Total revenue of employers ($1,000)",747372416,
"Revenue of nonemployer firms ($1,000)",36481720,
Establishment Entrants,18852,
Establishment Exits,13602,
All Employer firms (Total),106147,
Firms Age 0 (startups),12386,
Firms Age 1-5 Years,32108,
Firms Age 6-10 Year,18299,
Firms Age 11+ Years,38222,
Firms born before 1977,5129,
Firms with 1 to 19 employees,46708,
Firms with 20 to 499 employees,6902,
Firms with 500 or more employees,135,
"Total revenue of employers ($1,000) for Islands",n/a,
