Name,Value,MOE
Total population,3141000,
Percent male,50.4,
Percent female,49.6,
Percent under 5 years,5.6,
Percent under 18 years,22.1,
Percent 18 years and over ,77.9,
Percent 21 years and over,74.6,
Percent working age (25 to 64 years),53.3,
Percent 65 years and over,16.6,
Median age,38.9,0.1
Percent White,53.18,
Percent Black or African American,9.42,
Percent American Indian and Alaska Native,1.32,
Percent Asian,8.72,
Percent Native Hawaiian and Other Pacific Islander,0.72,
Percent some other race,11.81,
Percent two or more races,14.83,
Percent Hispanic (of any race),29.2,
