Name,Value,MOE
Total Civilian employed population 16 years and over,1474290,5738
"Agriculture, forestry, fishing and hunting, and mining",19380,1075
"Arts, entertainment, and recreation, and accommodation and food services",297753,4936
Construction,111606,3410
"Educational services, and health care and social assistance",249790,4562
"Finance and insurance, and real estate and rental and leasing",87179,2685
Information,23215,1592
Manufacturing,78475,2460
"Other services, except public administration",65996,2371
"Professional, scientific, and management, and administrative and waste management services",181294,3437
Public administration,60963,2530
Retail trade,164994,3804
"Transportation and warehousing, and utilities",105311,3174
Wholesale trade,28334,1343
