Name,Value,MOE
Total number of housing units,1307338,360
Owner-occupied housing units,701914,4459
Renter-occupied housing units,481479,4048
Single-family detached units,787304,3335
Home ownership rate,59.3,0.3
Vacancy rate,9.5,0.2
Percent with a broadband internet subscription,90.3,0.3
Median owner-occupied housing unit value,406100,2207
Average housing value,485415,6243
Median selected monthly owner cost,1442,11
Average monthly owner cost (with a mortgage),1368,17
Median rent (housing),1489,9
Average rent (housing),1361,17
Median year structure built,1996,1
