Name,Value,MOE
Total number of employer and nonemployer businesses,666031,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,259670,
White-owned non-employer businesses,381970,
Black-owned non-employer businesses,75920,
American Indian- and Alaska Native-owned employer businesses,8940,
Asian-owned non-employer businesses,77680,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,6010,
Hispanic-owned non-employer businesses,122880,
Female-owned non-employer businesses,239660,
Male-owned non-employer businesses,281770,
Veteran-owned non-employer businesses,29000,
