Name,Value,MOE
Total consumer expenditures per household ,112820.28,
Consumer expenditures per household on Alcoholic beverages,742.07,
Consumer expenditures per household on Alcoholic beverages consumed at home,461.73,
Consumer expenditures per household on Apparel & services,2645.91,
Consumer expenditures per household on Men's Apparel,496.51,
Consumer expenditures per household on Women's Apparel,892.36,
Consumer expenditures per household on Children's Apparel,396.35,
Consumer expenditures per household on Boys' Apparel,149.62,
Consumer expenditures per household on Girls' Apparel,145.26,
Consumer expenditures per household on Footware,551.08,
Consumer expenditures per household on Dining out (Food away from home),4419.81,
Consumer expenditures per household on Education,2024.41,
Consumer expenditures per household on Entertainment / Recreation,4748.44,
Consumer expenditures per household on Club membership fees,355.86,
Consumer expenditures per household on Dating services,0.93,
Consumer expenditures per household on Pet food,423.17,
Consumer expenditures per household on Pet services,126.03,
Consumer expenditures per household on Food consumed at home,8269.13,
Consumer expenditures per household on Bakery products consumed at home,1070.79,
Consumer expenditures per household on Dairy products consumed at home,791.49,
Consumer expenditures per household on Fruits and vegetables consumed at home,1632.12,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1758.78,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,835.58,
Consumer expenditures per household on Snacks and other food products consumed at home,3015.95,
Consumer expenditures per household on Health Care,9038.72,
Consumer expenditures per household on Medical services,1832.93,
Consumer expenditures per household on Nonprescription drugs,207.25,
Consumer expenditures per household on Household Services,3191.47,
Consumer expenditures per household on Care for the elderly and handicapped,42.76,
Consumer expenditures per household on Lawn and garden services,835.48,
Consumer expenditures per household on Housekeeping services,283.8,
Consumer expenditures per household on PC repair,6.69,
Consumer expenditures per household on Housing,36930.09,
Consumer expenditures per household on Home improvements,6808.71,
"Consumer expenditures per household on Utilities, fuel, and public services",6801.29,
Consumer expenditures per household on Phone services,2176.1,
Consumer expenditures per household on Water,1086.99,
Consumer expenditures per household on Life and other insurance,803.04,
Consumer expenditures per household on Pensions and social security,12181.32,
Consumer expenditures per household on Personal Care Products and Services,1130.68,
Consumer expenditures per household on Hair care products,123.96,
Consumer expenditures per household on Personal care products,500.92,
Consumer expenditures per household on Local Transportation,12523.58,
Consumer expenditures per household on Gasoline,3571.63,
Consumer expenditures per household on Vehicle maintenance and repair,1706.53,
Consumer expenditures per household on Travel,3504.42,
Consumer expenditures per household on Airline fares,721.08,
Consumer expenditures per household on Auto/Truck rental on trips,134.61,
Consumer expenditures per household on Lodging on trips,1143.79,
Consumer expenditures per household on Food and drink on trips,859.44,
Consumer expenditures per household on Entertainment on trips,208.36,
Consumer expenditures per household on Child Care,624.82,
Consumer expenditures per household on Day Care/Nursery & Preschools,453.12,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,171.7,
