Name,Value,MOE
Total population,1387834,
Percent male,49.9,
Percent female,50.1,
Percent under 5 years,4.6,
Percent under 18 years,18.5,
Percent 18 years and over ,81.5,
Percent 21 years and over,77.5,
Percent working age (25 to 64 years),53.2,
Percent 65 years and over,19.5,
Median age,43.2,0.1
Percent White,88.93,
Percent Black or African American,1.52,
Percent American Indian and Alaska Native,0.14,
Percent Asian,2.58,
Percent Native Hawaiian and Other Pacific Islander,0.02,
Percent some other race,1.29,
Percent two or more races,5.52,
Percent Hispanic (of any race),4.52,
